t,mx,my,mz,tx,ty,tz,distance
0,-1929.29,-973.661,0.710955,2719.53,1141.07,2719.99,5786.02
0.1,-1923,-970.805,4.27062,2734.92,1156.65,2718.38,5795.57
0.2,-1911.66,-965.65,10.687,2750.31,1172.22,2716.78,5798.91
0.35,-1885.13,-953.577,25.6792,2773.39,1195.58,2714.37,5792.22
0.5,-1847.14,-936.254,47.12,2796.48,1218.93,2711.96,5771.43
0.6,-1815.41,-921.765,64.9965,2811.86,1234.51,2710.36,5749.71
0.7,-1778.56,-904.908,85.7369,2827.25,1250.08,2708.75,5721.68
0.8,-1736.56,-885.67,109.337,2842.64,1265.65,2707.15,5687.34
0.9,-1689.41,-864.037,135.793,2858.03,1281.22,2705.54,5646.67
1.05,-1609.01,-827.073,180.813,2881.11,1304.58,2703.14,5573.8
1.15,-1548.96,-799.402,214.374,2896.5,1320.15,2701.53,5517.3
1.25,-1483.75,-769.297,250.76,2911.89,1335.72,2699.93,5454.46
1.35,-1413.36,-736.746,289.96,2927.28,1351.29,2698.32,5385.28
1.45,-1337.82,-701.741,331.963,2942.67,1366.87,2696.72,5309.78
1.55,-1257.12,-664.27,376.753,2958.05,1382.44,2695.11,5227.95
1.65,-1171.26,-624.327,424.317,2973.44,1398.01,2693.51,5139.81
1.75,-1080.25,-581.901,474.637,2988.83,1413.58,2691.9,5045.36
1.85,-984.197,-537.027,527.645,3004.22,1429.15,2690.3,4944.73
1.95,-886.946,-491.495,581.209,3019.61,1444.73,2688.69,4842.69
2.1,-741.054,-422.988,661.347,3042.69,1468.08,2686.29,4689.7
2.25,-595.142,-354.206,741.214,3065.77,1491.44,2683.88,4536.81
2.4,-449.21,-285.121,820.784,3088.86,1514.8,2681.47,4384.04
2.55,-303.259,-215.707,900.028,3111.94,1538.16,2679.06,4231.38
2.7,-157.287,-145.933,978.92,3135.02,1561.52,2676.66,4078.85
2.85,-11.296,-75.7723,1057.43,3158.1,1584.87,2674.25,3926.44
3,134.715,-5.19399,1135.53,3181.19,1608.23,2671.84,3774.17
3.15,280.744,65.8325,1213.19,3204.27,1631.59,2669.43,3622.05
3.3,426.791,137.339,1290.37,3227.35,1654.95,2667.03,3470.08
3.45,572.855,209.359,1367.04,3250.43,1678.3,2664.62,3318.27
3.6,718.933,281.926,1443.17,3273.52,1701.66,2662.21,3166.64
3.75,865.023,355.078,1518.71,3296.6,1725.02,2659.8,3015.2
3.9,1011.12,428.852,1593.62,3319.68,1748.38,2657.4,2863.95
4.05,1157.23,503.29,1667.86,3342.77,1771.74,2654.99,2712.92
4.2,1303.34,578.435,1741.38,3365.85,1795.09,2652.58,2562.13
4.35,1449.45,654.334,1814.13,3388.93,1818.45,2650.18,2411.59
4.5,1595.55,731.038,1886.04,3412.01,1841.81,2647.77,2261.33
4.65,1741.63,808.603,1957.06,3435.1,1865.17,2645.36,2111.38
4.8,1887.69,887.089,2027.1,3458.18,1888.53,2642.95,1961.78
4.95,2033.71,966.564,2096.1,3481.26,1911.88,2640.55,1812.58
5.1,2179.69,1047.1,2163.95,3504.34,1935.24,2638.14,1663.84
5.25,2325.6,1128.79,2230.56,3499.62,1931.57,2636.48,1479.03
5.4,2471.43,1211.7,2295.83,3480.98,1914.39,2635.19,1275.98
5.55,2617.15,1295.87,2359.71,3462.35,1897.2,2633.9,1072.91
5.7,2762.73,1381.34,2422.16,3443.72,1880.02,2632.61,869.89
5.85,2908.15,1468.12,2483.17,3425.08,1862.83,2631.32,667.058
6,3053.37,1556.24,2542.72,3406.45,1845.65,2630.03,464.809
6.15,3198.34,1645.81,2600.7,3387.82,1828.46,2628.74,264.673
6.3,3342.96,1737.05,2656.92,3369.19,1811.28,2627.45,84.0625
6.45,3487,1830.58,2710.8,3350.55,1794.09,2626.16,164.653
6.6,3630.08,1927.3,2761.49,3331.92,1776.91,2624.87,360.805
6.75,3771.76,2028.04,2808.14,3313.29,1759.72,2623.59,562.359
6.9,3911.41,2133.69,2849.72,3294.65,1742.54,2622.3,764.926
7.05,4048.25,2245.12,2885.1,3276.02,1725.36,2621.01,967.596
7.2,4181.11,2363.32,2912.78,3257.39,1708.17,2619.72,1169.77
7.35,4307.73,2490.01,2929.98,3238.76,1690.99,2618.43,1370.47
7.5,4425.29,2626.15,2933.94,3220.12,1673.8,2617.14,1568.36
7.65,4531.07,2770.9,2923.13,3201.49,1656.62,2615.85,1761.77
7.8,4621.57,2919.49,2897.94,3182.86,1639.43,2614.56,1946.47
7.95,4694.32,3065.97,2860.3,3164.22,1622.25,2613.27,2118.15
8.1,4748.59,3205.7,2812.59,3145.59,1605.06,2611.98,2274.18
8.2,4774.56,3293.41,2776.33,3133.17,1593.61,2611.12,2368.71
8.3,4792.52,3375.9,2737.2,3120.75,1582.15,2610.26,2455.3
8.4,4802.66,3452.58,2695.7,3108.33,1570.69,2609.4,2533.72
8.5,4805.16,3522.99,2652.28,3095.9,1559.24,2608.55,2603.81
8.6,4802.04,3588.41,2607.67,3083.48,1547.78,2607.69,2667.89
8.7,4798.94,3653.65,2563.09,3071.06,1536.33,2606.83,2733.23
8.8,4795.84,3718.69,2518.55,3058.64,1524.87,2605.97,2799.71
8.9,4792.75,3783.55,2474.03,3046.22,1513.41,2605.11,2867.25
9,4789.67,3848.22,2429.54,3033.79,1501.96,2604.25,2935.74
9.1,4786.6,3912.71,2385.09,3021.37,1490.5,2603.39,3005.13
9.2,4783.54,3977.01,2340.66,3008.95,1479.04,2602.53,3075.32
9.3,4780.48,4041.12,2296.27,2996.53,1467.59,2601.67,3146.24
9.4,4777.44,4105.05,2251.9,2984.11,1456.13,2600.81,3217.85
9.5,4774.4,4168.78,2207.57,2971.68,1444.67,2599.95,3290.07
9.6,4771.38,4232.34,2163.27,2959.26,1433.22,2599.09,3362.85
9.7,4768.36,4295.7,2119,2946.84,1421.76,2598.23,3436.15
9.8,4765.35,4358.88,2074.77,2934.42,1410.31,2597.37,3509.91
9.9,4762.35,4421.87,2030.57,2922,1398.85,2596.51,3584.11
10,4759.36,4484.67,1986.4,2909.57,1387.39,2595.65,3658.69
10.1,4756.38,4547.29,1942.26,2897.15,1375.94,2594.79,3733.63
10.2,4753.4,4609.72,1898.16,2884.73,1364.48,2593.93,3808.89
10.3,4750.44,4671.96,1854.09,2872.31,1353.02,2593.08,3884.43
10.4,4747.48,4734.02,1810.06,2859.89,1341.57,2592.22,3960.24
10.5,4744.54,4795.89,1766.06,2847.46,1330.11,2591.36,4036.28
10.6,4741.6,4857.57,1722.09,2835.04,1318.65,2590.5,4112.54
10.7,4738.67,4919.06,1678.17,2822.62,1307.2,2589.64,4188.98
10.8,4735.75,4980.37,1634.27,2810.2,1295.74,2588.78,4265.6
10.9,4732.84,5041.49,1590.41,2797.78,1284.28,2587.92,4342.36
11,4729.94,5102.43,1546.59,2785.36,1272.83,2587.06,4419.25
11.1,4727.04,5163.18,1502.81,2772.93,1261.37,2586.2,4496.26
11.2,4724.16,5223.74,1459.06,2760.51,1249.92,2585.34,4573.37
11.3,4721.28,5284.11,1415.35,2748.09,1238.46,2584.48,4650.56
11.4,4718.42,5344.3,1371.67,2735.67,1227,2583.62,4727.82
11.5,4715.56,5404.3,1328.03,2723.25,1215.55,2582.76,4805.14
11.6,4712.71,5464.12,1284.43,2710.82,1204.09,2581.9,4882.5
11.7,4709.87,5523.75,1240.87,2698.4,1192.63,2581.04,4959.9
11.8,4707.04,5583.19,1197.35,2685.98,1181.18,2580.18,5037.32
11.9,4704.22,5642.45,1153.86,2673.56,1169.72,2579.32,5114.76
12,4701.4,5701.52,1110.41,2661.14,1158.26,2578.46,5192.2
12.1,4698.6,5760.4,1067,2648.71,1146.81,2577.61,5269.65
12.2,4695.8,5819.1,1023.64,2636.29,1135.35,2576.75,5347.07
12.3,4693.02,5877.61,980.305,2623.87,1123.9,2575.89,5424.49
12.4,4690.24,5935.94,937.015,2611.45,1112.44,2575.03,5501.87
12.5,4687.47,5994.08,893.765,2599.03,1100.98,2574.17,5579.22
12.6,4684.71,6052.03,850.555,2586.6,1089.53,2573.31,5656.53
12.7,4681.96,6109.8,807.385,2574.18,1078.07,2572.45,5733.8
12.8,4679.21,6167.38,764.255,2561.76,1066.61,2571.59,5811.02
12.9,4676.48,6224.78,721.167,2549.34,1055.16,2570.73,5888.18
13,4673.76,6281.99,678.12,2536.92,1043.7,2569.87,5965.28
13.1,4671.04,6339.02,635.114,2524.49,1032.24,2569.01,6042.31
13.2,4668.33,6395.86,592.149,2512.07,1020.79,2568.15,6119.27
13.3,4665.63,6452.52,549.227,2499.65,1009.33,2567.29,6196.16
13.4,4662.95,6508.99,506.346,2487.23,997.875,2566.43,6272.97
